match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_winner,won_by,margin,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure
11,2022-02-06,"Pindi Cricket Stadium, Rawalpindi",Quetta Gladiators,Islamabad United,Group,Islamabad United,field,173,10,142,10,Quetta Gladiators,Runs,31,Ben Cutting,Rilee Rossouw,93,Zaman Khan,3--44
12,2022-02-07,"Dubai International Cricket Stadium, Dubai",Quetta Gladiators,Multan Sultans,Group,Quetta Gladiators,field,141,10,138,7,Quetta Gladiators,Runs,3,James Vince,Kamran Akmal,79,Zaman Khan,2--51
13,2022-02-08,"Dubai International Cricket Stadium, Dubai",Peshawar Zalmi,Islamabad United,Group,Islamabad United,bat,169,9,128,9,Peshawar Zalmi,Runs,41,Hasan Ali,Rilee Rossouw,77,Ben Cutting,1--38
14,2022-02-09,"Dubai International Cricket Stadium, Dubai",Peshawar Zalmi,Multan Sultans,Group,Peshawar Zalmi,field,183,10,147,6,Peshawar Zalmi,Runs,36,Chris Jordan,Rovman Powell,56,Abbas Afridi,3--37
15,2022-02-10,"Dubai International Cricket Stadium, Dubai",Islamabad United,Multan Sultans,Group,Islamabad United,field,167,9,167,8,Multan Sultans,Wickets,7,Khushdil Shah,Shan Masood,96,Shadab Khan,4--31
16,2022-02-11,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars,Group,Karachi Kings,field,155,9,159,9,Lahore Qalandars,Wickets,5,Imad Wasim,Mohammad Haris,73,Naseem Shah,4--55
17,2022-02-12,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators,Group,Quetta Gladiators,field,159,8,167,8,Quetta Gladiators,Wickets,1,Wahab Riaz,Babar Azam,106,Imad Wasim,2--42
18,2022-02-13,"Multan Cricket Stadium, Multan",Karachi Kings,Peshawar Zalmi,Group,Peshawar Zalmi,field,186,8,141,8,Karachi Kings,Runs,45,Khushdil Shah,Mohammad Haris,76,Shadab Khan,1--16
19,2022-02-14,"Multan Cricket Stadium, Multan",Karachi Kings,Islamabad United,Group,Karachi Kings,bat,169,6,124,6,Karachi Kings,Runs,45,Liam Dawson,Shan Masood,77,Shadab Khan,1--35
20,2022-02-15,"Pindi Cricket Stadium, Rawalpindi",Karachi Kings,Multan Sultans,Group,Multan Sultans,field,181,5,137,5,Karachi Kings,Runs,44,James Vince,Sahibzada Farhan,89,Chris Jordan,5--55
21,2022-02-16,"Multan Cricket Stadium, Multan",Lahore Qalandars,Quetta Gladiators,Group,Quetta Gladiators,bat,152,8,161,10,Quetta Gladiators,Wickets,5,Ben Cutting,Fakhar Zaman,101,Liam Dawson,4--52
22,2022-02-17,"Arbab Niaz Stadium, Peshawar",Lahore Qalandars,Peshawar Zalmi,Group,Lahore Qalandars,field,151,4,124,4,Lahore Qalandars,Runs,27,Mohammad Hafeez,Mohammad Haris,103,Hasan Ali,3--51
23,2022-02-18,"Multan Cricket Stadium, Multan",Lahore Qalandars,Islamabad United,Group,Islamabad United,bat,130,6,187,5,Islamabad United,Wickets,6,Shadab Khan,Hussain Talat,46,Chris Jordan,1--13
24,2022-02-19,"Multan Cricket Stadium, Multan",Lahore Qalandars,Multan Sultans,Group,Lahore Qalandars,field,173,4,180,9,Multan Sultans,Wickets,3,Rilee Rossouw,Kamran Akmal,64,Hasan Ali,4--20
25,2022-02-20,"Arbab Niaz Stadium, Peshawar",Quetta Gladiators,Peshawar Zalmi,Group,Peshawar Zalmi,bat,164,5,150,10,Quetta Gladiators,Runs,14,Liam Dawson,Fakhar Zaman,85,Naseem Shah,5--15
26,2022-02-21,"Arbab Niaz Stadium, Peshawar",Quetta Gladiators,Islamabad United,Group,Quetta Gladiators,bat,144,4,207,4,Islamabad United,Wickets,3,Rovman Powell,Shan Masood,88,Wahab Riaz,3--55
27,2022-02-22,"Pindi Cricket Stadium, Rawalpindi",Quetta Gladiators,Multan Sultans,Group,Quetta Gladiators,field,159,10,193,9,Multan Sultans,Wickets,1,Rilee Rossouw,Kamran Akmal,79,Wahab Riaz,1--19
28,2022-02-23,"Dubai International Cricket Stadium, Dubai",Peshawar Zalmi,Islamabad United,Group,Peshawar Zalmi,bat,193,10,197,4,Islamabad United,Wickets,7,Hasan Ali,Hussain Talat,96,Mohammad Amir,5--15
29,2022-02-24,"Pindi Cricket Stadium, Rawalpindi",Peshawar Zalmi,Multan Sultans,Group,Multan Sultans,field,150,6,136,8,Peshawar Zalmi,Runs,14,Shaheen Afridi,Hussain Talat,90,Shaheen Afridi,3--20
30,2022-02-25,"Pindi Cricket Stadium, Rawalpindi",Islamabad United,Multan Sultans,Group,Multan Sultans,field,146,4,116,7,Islamabad United,Runs,30,Rilee Rossouw,Mohammad Haris,49,Shaheen Afridi,3--20
31,2022-02-26,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators,Playoff,Quetta Gladiators,field,160,9,124,5,Islamabad United,Runs,36,Liam Dawson,Fakhar Zaman,94,Naseem Shah,2--28
32,2022-02-27,"Gaddafi Stadium, Lahore",Multan Sultans,Peshawar Zalmi,Playoff,Peshawar Zalmi,bat,187,6,171,8,Multan Sultans,Runs,16,Rilee Rossouw,Babar Azam,63,Shadab Khan,4--20
33,2022-02-28,"Gaddafi Stadium, Lahore",Islamabad United,Multan Sultans,Playoff,Islamabad United,field,193,5,192,8,Islamabad United,Runs,1,Babar Azam,Sahibzada Farhan,62,Wahab Riaz,3--29
34,2022-03-01,"Gaddafi Stadium, Lahore",Islamabad United,Multan Sultans,Final,Islamabad United,field,163,6,156,4,Islamabad United,Runs,7,Shaheen Afridi,Rovman Powell,85,Abbas Afridi,3--17
